loan_amnt,int_rate,grade,emp_length,home_ownership,annual_inc,age,default,default_amount
10000,,D,5,RENT,102000,21,0,0
9000,5.99,A,1,OWN,22800,22,1,4774
6000,,A,1,MORTGAGE,82531.8,40,0,0
4000,12.68,C,2,RENT,22000,38,0,0
5000,,B,2,MORTGAGE,48000,25,1,1922
4900,7.74,A,3,MORTGAGE,75000,23,1,2314
15000,,A,12,MORTGAGE,48000,22,0,0
5000,7.88,A,16,MORTGAGE,70000,24,1,2269
6000,12.68,C,16,RENT,42000,24,1,3268
6000,11.71,B,7,RENT,85000,32,0,0
5000,13.16,C,4,RENT,58000,23,0,0
4200,9.63,B,2,RENT,40000,25,0,0
3000,7.51,A,9,MORTGAGE,60000,24,1,1222
18000,13.11,C,2,RENT,40000,25,0,0
8500,12.53,B,3,RENT,42000,22,0,0
12000,7.66,A,1,RENT,72800,36,0,0
16000,10.99,B,0,OWN,52000,29,1,7916
3000,7.37,A,0,OWN,39996,24,0,0
8000,16.49,D,3,RENT,45000,23,0,0
6000,11.12,B,0,MORTGAGE,33600,29,0,0
7000,6.91,A,3,RENT,60000,26,1,2775
9000,9.63,A,2,MORTGAGE,43500,25,1,5630
5000,12.53,B,2,RENT,19200,27,0,0
5000,14.79,C,12,MORTGAGE,130000,23,0,0
12000,12.53,C,6,RENT,88000,29,0,0
35000,12.99,C,6,MORTGAGE,165000,27,0,0
3200,16.32,E,1,RENT,48000,28,1,1780
7500,10.33,B,1,RENT,87000,23,0,0
8000,19.42,E,0,MORTGAGE,50000,25,0,0
1000,10.65,B,0,RENT,20000,29,1,598
35000,16.02,D,0,RENT,65000,22,0,0
25000,14.96,D,9,RENT,91000,24,0,0
12000,7.66,A,15,MORTGAGE,92000,41,0,0
8000,6.03,A,15,MORTGAGE,64320,29,1,3910
14000,7.9,A,9,RENT,37947,21,0,0
10000,,C,17,MORTGAGE,60000,26,1,4338
11000,10.37,B,3,RENT,42000,21,1,4426
8000,6.62,A,3,MORTGAGE,50000,26,0,0
5600,9.99,B,1,RENT,69000,24,0,0
8000,12.53,B,4,RENT,29962,32,1,4576
6000,5.42,A,10,MORTGAGE,59600,22,1,3968
8000,14.3,D,0,RENT,37200,22,0,0
15000,12.21,B,3,MORTGAGE,75000,33,1,7377
12000,6.62,A,5,RENT,60000,26,1,5554
9000,5.42,A,15,MORTGAGE,76000,28,1,3380
12000,12.73,C,,MORTGAGE,60000,25,1,6211
7000,10.71,B,0,RENT,65000,23,1,3213
8000,6.76,A,12,MORTGAGE,107364,28,1,3931
1500,,C,4,RENT,155004,23,0,0
10000,10.65,B,1,RENT,122500,26,0,0
6800,,A,16,OWN,168000,28,0,0
17250,19.42,E,4,RENT,60000,35,1,8258
4800,10.99,B,5,RENT,26004,22,0,0
6700,13.49,C,6,RENT,53000,33,1,4171
3000,11.12,B,5,RENT,27600,32,1,1221
11375,10.99,B,32,MORTGAGE,157124,37,1,4724
4500,11.86,B,5,MORTGAGE,61200,27,0,0
8000,10.99,B,18,MORTGAGE,89000,26,0,0
4725,11.22,C,0,RENT,19800,26,1,1697
10000,13.49,C,5,RENT,65000,35,1,4565
1800,10.65,B,2,RENT,21000,24,0,0
11000,11.83,B,10,MORTGAGE,135000,29,0,0
3000,,C,11,MORTGAGE,76209,25,1,1333
6000,13.98,C,1,RENT,56160,31,0,0
2000,14.27,C,13,OWN,100000,28,1,919
23500,,D,6,RENT,38400,37,1,9773
12000,,B,11,RENT,51449,22,1,5357
16000,10.62,B,21,RENT,50000,24,1,6149
6000,13.49,C,1,RENT,32000,24,1,2334
18200,7.51,A,2,MORTGAGE,61000,22,0,0
10000,8,A,4,MORTGAGE,65000,30,1,4195
4800,,A,24,MORTGAGE,97000,23,1,1875
12300,10.74,B,1,RENT,30000,24,0,0
3000,11.49,B,3,MORTGAGE,37000,32,0,0
6300,10.99,B,16,MORTGAGE,57000,39,1,3039
14400,11.71,B,2,MORTGAGE,67500,24,0,0
25000,10.99,B,26,MORTGAGE,132000,32,0,0
5000,6.92,A,5,MORTGAGE,99000,27,0,0
12000,15.21,D,2,MORTGAGE,87504,28,0,0
14400,,A,13,OWN,78000,29,0,0
10800,9.63,A,2,MORTGAGE,107000,27,0,0
7000,,A,8,RENT,49896,33,0,0
25850,7.9,A,17,MORTGAGE,60000,23,1,10090
7000,9.99,B,2,RENT,43000,26,1,3221
4800,11.12,B,3,RENT,55000,21,1,4349
9600,10.95,B,1,MORTGAGE,62004,23,0,0
30000,6.62,A,5,MORTGAGE,61500,22,1,12995
8000,11.36,B,22,RENT,46000,27,1,3838
9000,12.69,B,2,MORTGAGE,60000,31,0,0
6000,14.27,C,4,RENT,93000,35,0,0
8000,6.03,A,2,MORTGAGE,55000,25,0,0
9600,7.51,A,4,MORTGAGE,45760,42,1,3819
7000,,A,23,RENT,58000,27,1,4915
10000,13.79,C,0,RENT,40000,25,1,4720
10000,6.17,A,14,RENT,50004,23,0,0
4800,6.99,A,1,MORTGAGE,70000,25,0,0
11000,11.86,B,9,RENT,69996,24,0,0
10000,10.99,B,3,MORTGAGE,50000,23,0,0
10500,7.51,A,8,MORTGAGE,48000,23,0,0
4200,7.49,A,0,RENT,30000,42,0,0
13000,15.99,D,3,RENT,120000,26,1,10125
5000,11.58,B,2,RENT,16120,26,0,0
15000,15.27,C,6,MORTGAGE,55000,25,1,9743
15850,8.49,A,3,RENT,84000,23,0,0
2250,15.62,D,3,MORTGAGE,27600,30,1,1402
10000,8.94,A,0,MORTGAGE,65000,29,0,0
6400,11.71,B,3,MORTGAGE,37000,23,0,0
9000,16.77,D,5,RENT,32000,29,0,0
13000,7.29,A,7,RENT,36000,24,0,0
14000,14.27,C,2,MORTGAGE,36100,29,1,6646
35000,8.9,A,5,RENT,85000,37,0,0
12750,18.25,D,3,RENT,58000,22,0,0
24000,,F,7,RENT,110000,22,0,0
12000,16.45,E,2,MORTGAGE,170000,24,1,8852
13000,7.88,A,6,MORTGAGE,80000,32,0,0
4000,7.75,A,10,MORTGAGE,65000,23,1,884
25000,9.99,B,0,RENT,75600,30,1,12163
4300,10.74,B,0,OWN,40000,26,0,0
4800,13.22,C,2,RENT,42000,25,1,1978
23000,11.03,C,0,MORTGAGE,120000,23,1,8844
6000,5.99,A,4,RENT,36000,29,1,2535
12000,16.45,E,2,MORTGAGE,30000,23,0,0
10000,6.99,A,20,MORTGAGE,80000,43,0,0
3000,,A,12,MORTGAGE,65500,41,0,0
5000,14.27,C,3,OWN,35000,21,1,2661
15000,7.9,A,9,MORTGAGE,90000,31,1,6553
10000,5.42,A,6,MORTGAGE,60000,23,0,0
4000,10.37,B,3,RENT,63500,27,0,0
15000,6.91,A,7,RENT,86000,27,0,0
7500,7.74,A,1,MORTGAGE,31200,27,0,0
4000,8.9,A,1,MORTGAGE,15456,31,1,1768
16000,7.88,A,8,RENT,65000,22,1,8528
2700,14.72,C,,MORTGAGE,53876.64,21,0,0
7500,11.03,C,11,MORTGAGE,60000,32,0,0
20000,,B,0,RENT,129000,32,1,10469
6000,7.51,A,6,MORTGAGE,39000,25,0,0
4000,7.88,A,13,OWN,140000,34,1,1988
16000,5.99,A,50,MORTGAGE,40000,32,0,0
10000,7.49,A,4,RENT,75000,26,1,4830
3000,13.48,C,,RENT,40800,27,1,1245
35000,17.99,E,4,OWN,104000,27,0,0
5000,12.18,B,3,RENT,55000,31,1,2268
6500,7.74,A,5,RENT,72600,25,0,0
16000,16.45,E,3,MORTGAGE,78000,22,0,0
7200,16.32,D,7,MORTGAGE,40800,36,1,4206
24000,6.62,A,18,MORTGAGE,150000,40,0,0
6000,9.91,B,,RENT,54516,23,0,0
5850,15.2,D,14,RENT,23500,39,0,0
5000,15.31,D,0,RENT,85000,26,0,0
5600,7.49,A,6,MORTGAGE,49200,25,0,0
10625,,A,11,MORTGAGE,59000,25,1,5676
6925,15.99,D,13,RENT,40000,26,1,2826
9975,5.42,A,13,MORTGAGE,114000,30,0,0
22000,6.99,A,0,MORTGAGE,160000,42,0,0
7000,7.51,A,15,OWN,47000,25,1,3263
24000,10.75,B,5,RENT,60000,21,1,9886
7525,,A,1,RENT,85000,27,0,0
6000,7.66,A,4,RENT,18200,22,0,0
10000,10.59,B,12,MORTGAGE,195054.78,25,1,4293
12000,8.9,A,5,RENT,42900,25,1,5860
4750,7.88,A,0,OWN,18000,32,1,3654
14500,7.51,A,4,MORTGAGE,78000,24,0,0
12250,6.62,A,7,MORTGAGE,52833,29,0,0
7200,7.29,A,1,MORTGAGE,64000,34,0,0
6000,14.84,D,2,RENT,32004,24,1,1620
10000,10.25,B,4,RENT,58100,28,1,5425
2500,7.14,A,8,MORTGAGE,175000,29,0,0
20000,12.68,C,7,RENT,62400,39,0,0
35000,,C,38,RENT,75000,36,1,24093
4000,10.37,B,4,RENT,58320,23,0,0
1600,,D,5,MORTGAGE,25700,37,0,0
7000,12.21,B,0,RENT,10000,22,1,3707
4000,14.35,C,3,RENT,19000,21,0,0
24500,6.17,A,23,MORTGAGE,52000,25,0,0
9500,12.73,C,0,RENT,48602,24,0,0
10500,13.49,C,3,RENT,38000,34,0,0
5000,13.11,C,9,MORTGAGE,62000,30,1,2336
5000,12.18,B,1,RENT,67500,26,0,0
3025,9.99,B,7,RENT,80000,28,0,0
2000,13.11,C,3,RENT,23040,21,1,1073
5000,12.69,B,5,MORTGAGE,100000,31,0,0
2000,7.37,A,0,MORTGAGE,65000,25,1,916
4000,12.69,B,3,MORTGAGE,33000,33,1,1702
10000,13.22,C,3,RENT,36000,21,0,0
4750,9.25,B,0,RENT,39996,34,0,0
3000,5.42,A,8,MORTGAGE,54000,23,1,1314
8500,10.59,B,19,MORTGAGE,49000,27,1,7157
3000,10,B,5,RENT,34008,23,0,0
4000,10,B,5,RENT,26004,29,1,1787
17500,11.11,B,0,OWN,38000,23,0,0
11500,16,E,1,RENT,34928.12,27,1,5439
10000,11.99,B,11,MORTGAGE,75996,25,0,0
6000,13.48,C,8,RENT,48000,21,1,3219
8000,7.51,A,0,MORTGAGE,60000,23,1,3565
25000,13.57,C,0,OWN,86500,31,1,13660
2000,12.42,B,7,RENT,30225,28,0,0
25000,6.62,A,6,RENT,80000,24,1,13051
8000,11.36,B,1,RENT,58000,27,0,0
10000,11.49,B,12,MORTGAGE,102000,23,0,0
2800,7.66,A,2,OWN,37000,29,0,0
4750,11.11,B,1,RENT,14400,23,1,2571
8000,13.22,C,2,RENT,30000,30,0,0
8000,7.51,A,12,MORTGAGE,250000,29,0,0
8500,7.29,A,3,MORTGAGE,73000,32,0,0
11000,11.03,C,0,OWN,20400,31,1,5757
30000,18.62,F,14,MORTGAGE,100000,24,1,13515
14500,13.85,C,3,RENT,43200,25,1,6737
13200,11.71,B,2,MORTGAGE,41600,32,1,6665
10000,9.91,B,0,MORTGAGE,38400,33,0,0
2575,6.76,A,3,RENT,82500,42,1,1173
2000,5.42,A,34,MORTGAGE,123996,26,0,0
2100,13.48,C,0,RENT,23000,25,0,0
2800,6.76,A,1,MORTGAGE,52800,46,0,0
15000,7.88,A,9,MORTGAGE,136240,35,0,0
12000,5.42,A,11,RENT,46000,25,0,0
28000,12.99,C,1,MORTGAGE,160000,27,1,12257
2400,6.92,A,4,RENT,12000,24,1,1340
25000,15.33,D,12,RENT,79000,24,1,13059
20000,,C,1,MORTGAGE,118560,45,0,0
6000,8.49,A,26,OWN,114000,23,0,0
5000,5.42,A,2,MORTGAGE,103000,28,0,0
13000,13.11,C,2,RENT,64000,27,0,0
14500,16.7,E,4,RENT,28800,32,1,6649
5000,10.37,B,11,RENT,50000,29,0,0
4200,13.49,C,1,RENT,43000,37,0,0
16800,13.11,C,4,RENT,103000,23,1,8905
20000,12.18,B,7,RENT,75000,30,0,0
7000,15.62,D,4,RENT,27600,24,1,3169
11200,,A,4,RENT,36000,26,0,0
3500,7.74,A,0,RENT,42756,35,0,0
8000,7.9,A,0,RENT,50000,27,0,0
4000,12.18,B,2,RENT,41000,23,1,2934
12000,6.62,A,5,MORTGAGE,158367,28,1,6016
6000,,B,11,RENT,45000,37,0,0
2600,9.25,B,2,MORTGAGE,72000,27,0,0
25000,,B,21,MORTGAGE,80000,26,1,10411
3375,14.83,D,13,MORTGAGE,45000,28,1,1684
15000,11.86,B,6,MORTGAGE,65000,25,0,0
6000,10.59,B,3,RENT,21600,26,0,0
6500,,A,12,MORTGAGE,64800,27,1,3967
16000,6.54,A,2,MORTGAGE,100000,27,0,0
22400,,C,0,RENT,45000,34,1,12390
5000,9.91,B,1,RENT,31000,30,1,4083
10000,8,A,4,RENT,31200,27,1,4648
1500,15.96,C,13,MORTGAGE,97000,42,1,638
6000,7.9,A,8,RENT,35000,30,0,0
16000,10.99,B,2,MORTGAGE,40000,37,0,0
6000,6.62,A,28,MORTGAGE,38000,30,0,0
15000,,A,0,RENT,125000,25,1,8433
21400,13.49,C,1,MORTGAGE,85000,23,1,12235
5000,9.62,B,0,RENT,19200,25,0,0
14400,12.69,B,6,RENT,135000,24,1,7973
2200,7.49,A,1,RENT,35360,21,1,1411
21850,12.42,B,4,MORTGAGE,50000,29,0,0
7875,9.99,B,0,MORTGAGE,290000,27,0,0
2000,11.99,B,2,RENT,36000,27,1,1379
4000,5.42,A,4,MORTGAGE,72500,32,0,0
20000,11.14,B,13,MORTGAGE,120000,25,1,9479
13900,8.94,A,18,MORTGAGE,29766.84,31,0,0
18000,9.91,B,15,MORTGAGE,90000,25,1,6661
25000,10.59,B,8,MORTGAGE,75000,38,0,0
35000,9.63,B,11,MORTGAGE,107000,27,0,0
4000,13.43,C,0,RENT,42000,41,0,0
4200,,B,3,MORTGAGE,828000,36,1,2176
4000,5.79,A,1,RENT,13200,24,0,0
6000,11.46,B,4,RENT,29000,22,1,2265
17000,14.96,D,,RENT,51000,24,0,0
5000,14.96,D,17,MORTGAGE,60000,23,1,2239
9000,9.63,A,1,MORTGAGE,92000,34,0,0
8400,17.19,E,4,RENT,102000,34,1,4887
18750,7.9,A,3,MORTGAGE,75000,30,1,9305
3000,7.29,A,8,MORTGAGE,30000,28,1,1961
20000,7.88,A,3,MORTGAGE,60000,24,0,0
16000,13.49,C,5,MORTGAGE,75000,32,1,7412
2000,13.06,C,,RENT,60000,23,0,0
4800,12.61,C,7,MORTGAGE,32000,26,0,0
23500,10.25,B,5,MORTGAGE,46000,25,0,0
4500,14.74,D,6,MORTGAGE,50000,33,1,2376
3600,,B,4,MORTGAGE,20004,26,1,1439
7000,7.74,A,0,RENT,180000,33,0,0
3000,7.43,A,11,RENT,72000,23,0,0
13000,7.88,A,2,MORTGAGE,37000,22,1,6107
3500,5.42,A,1,RENT,70000,23,1,1629
9000,10.25,B,3,MORTGAGE,59000,37,1,3902
3000,10.74,B,1,RENT,40000,24,1,1285
1750,10.65,B,2,MORTGAGE,78000,22,0,0
6000,7.66,A,8,RENT,28284,23,1,2755
4000,,C,1,RENT,30000,22,0,0
20000,6.91,A,3,MORTGAGE,105000,29,0,0
3200,,B,2,MORTGAGE,160000,32,1,1971
24250,12.73,C,4,RENT,68375,62,1,14628
14400,,C,2,RENT,42996,22,0,0
20000,11.71,B,27,RENT,57000,28,0,0
3775,6.17,A,0,RENT,50000,32,0,0
15000,6.54,A,14,MORTGAGE,74400,26,0,0
12000,11.58,B,10,MORTGAGE,74000,23,0,0
10000,18.43,F,3,RENT,80000,25,1,4652
9000,7.14,A,34,MORTGAGE,70000,32,0,0
14400,7.49,A,4,MORTGAGE,59000,21,1,7166
20000,16,D,1,RENT,38900,23,1,9435
2500,14.54,D,1,RENT,31000,24,0,0
6000,10.37,B,7,OWN,31200,23,1,3749
9600,7.9,A,1,RENT,70560,23,0,0
8000,8.94,A,2,RENT,60000,23,0,0
8000,7.14,A,4,RENT,50000,28,0,0
1500,19.03,E,2,RENT,64000,51,0,0
3600,16.77,D,1,RENT,105000,22,0,0
12000,10.37,B,3,RENT,54996,25,0,0
6000,7.49,A,4,RENT,70000,23,0,0
6000,13.49,C,11,MORTGAGE,85000,22,1,2750
1800,13.06,C,1,RENT,23766,31,1,1136
5000,10.65,B,0,RENT,41600,34,0,0
5000,13.98,C,3,RENT,65000,23,0,0
7000,10.99,B,5,RENT,18000,29,0,0
25000,11.86,D,2,RENT,52000,26,0,0
10000,7.66,A,8,MORTGAGE,100000,23,0,0
10600,10.99,B,3,RENT,75000,22,1,5635
25000,15.58,D,7,RENT,140004,33,0,0
15500,7.88,A,0,RENT,125000,26,1,5946
9600,,B,2,RENT,41400,27,0,0
3000,10.59,B,3,RENT,21000,26,1,1297
10000,10.36,B,3,MORTGAGE,70000,22,0,0
10000,9.99,B,6,MORTGAGE,45000,25,1,5371
12000,7.9,A,0,MORTGAGE,65000,25,0,0
6000,11.86,B,1,RENT,72000,25,0,0
10500,15.58,D,0,RENT,50000,30,1,6478
6000,5.79,A,14,MORTGAGE,31200,25,0,0
1000,,C,2,RENT,28800,41,1,592
17000,11.83,B,24,MORTGAGE,46654.4,35,0,0
7300,8.49,A,13,RENT,96000,23,0,0
2400,17.58,D,23,MORTGAGE,31200,25,1,866
25000,11.86,B,16,MORTGAGE,224000,42,0,0
8000,9.63,B,2,RENT,40000,21,0,0
12000,11.36,B,8,RENT,54000,23,0,0
2000,20.99,F,4,RENT,20400,42,1,975
5000,5.79,A,16,MORTGAGE,45000,24,0,0
12000,10.99,B,6,RENT,72000,22,1,7586
8000,10.75,B,5,MORTGAGE,550000,40,0,0
4200,,A,7,MORTGAGE,60000,30,0,0
7200,7.9,A,2,RENT,75000,29,1,2927
5425,,D,5,OWN,150000,30,1,3200
19500,9.76,B,1,RENT,90000,24,0,0
6000,6.62,A,21,MORTGAGE,60000,32,0,0
8500,5.79,A,9,MORTGAGE,95000,32,0,0
7250,,C,11,RENT,105000,35,0,0
3600,9.63,A,3,RENT,82300,28,0,0
8000,,D,10,RENT,45000,21,0,0
25000,11.86,B,2,RENT,84996,36,1,14953
5000,10.99,B,3,RENT,19200,25,1,2933
5075,5.99,A,3,MORTGAGE,60000,27,0,0
4200,10.37,B,2,OWN,55600,27,0,0
15200,13.85,C,7,MORTGAGE,125000,29,1,5881
4000,7.14,A,4,MORTGAGE,71000,29,0,0
7200,5.99,A,5,MORTGAGE,75600,24,0,0
5000,,B,0,RENT,49800,45,1,2337
8000,13.16,C,5,RENT,55000,31,0,0
4800,11.03,C,3,RENT,42996,22,0,0
5000,14.96,D,0,RENT,41280,25,1,3438
24000,10.99,B,5,MORTGAGE,76000,22,0,0
16000,11.89,B,17,RENT,94000,24,0,0
20000,6.17,A,11,OWN,60000,30,1,9430
13000,11.58,B,8,RENT,69996,23,0,0
16000,6.03,A,27,RENT,130000,34,1,5548
6000,8,A,5,RENT,57000,25,0,0
10625,,B,2,RENT,30000,40,0,0
5500,8.94,A,3,RENT,54000,23,0,0
5975,14.46,D,0,RENT,52000,24,0,0
3500,10.28,C,0,RENT,20000,25,0,0
30000,11.11,B,8,MORTGAGE,110000,27,0,0
2500,6.91,A,4,MORTGAGE,41820,22,1,1741
9800,13.49,C,4,RENT,60000,23,1,5015
12000,6.92,A,19,MORTGAGE,145000,22,0,0
10500,,D,10,RENT,37000,24,0,0
5750,9.99,B,3,RENT,147750,25,0,0
10500,6.62,A,3,MORTGAGE,58239.96,30,1,4723
6000,14.79,C,1,RENT,60000,29,1,2963
4400,,B,6,MORTGAGE,80000,28,0,0
10000,5.99,A,8,MORTGAGE,180000,45,0,0
6000,9.25,B,6,MORTGAGE,24996,31,0,0
6000,11.49,B,7,MORTGAGE,96000,30,0,0
20000,7.88,A,16,MORTGAGE,138000,32,1,11321
22000,,A,7,MORTGAGE,55000,28,0,0
1200,10,B,2,MORTGAGE,78400,32,0,0
12000,11.99,B,6,MORTGAGE,105000,26,0,0
5000,7.66,A,4,MORTGAGE,55000,22,1,2917
6000,6.03,A,4,MORTGAGE,80000,27,0,0
10000,7.49,A,1,RENT,26400,22,0,0
10200,8.94,A,11,MORTGAGE,55000,25,0,0
15000,13.99,C,2,MORTGAGE,48000,51,1,8046
2500,10.36,B,4,RENT,70000,30,0,0
12000,10.99,B,2,RENT,60000,22,0,0
12000,10.38,B,3,OWN,56600,23,1,4423
3400,9.88,B,4,RENT,37500,32,1,1414
25000,15.68,E,2,RENT,108000,25,1,11310
1000,6.62,A,36,OWN,38400,25,0,0
3000,12.69,B,5,RENT,42000,29,1,1570
7500,12.53,C,2,RENT,40000,22,1,4700
8000,7.29,A,15,RENT,55000,27,0,0
4000,,B,1,RENT,26000,23,0,0
6400,7.29,A,8,MORTGAGE,100000,33,0,0
10000,7.88,A,4,RENT,34995,26,0,0
9000,5.42,A,12,MORTGAGE,95000,32,0,0
13000,12.53,C,0,RENT,65004,32,0,0
3800,14.84,D,3,RENT,30004,25,0,0
9600,14.27,C,3,RENT,40000,26,0,0
7350,6.92,A,1,RENT,12480,24,0,0
10000,6.99,A,6,RENT,32000,26,1,4809
6400,,A,2,OWN,35000,25,0,0
7500,10.39,B,3,OWN,30000,44,0,0
5000,6.03,A,3,MORTGAGE,70000,24,0,0
5000,13.35,C,2,RENT,45000,31,0,0
5000,14.84,D,0,RENT,39996,23,1,2385
2000,7.66,A,4,RENT,70000,23,0,0
5775,6.17,A,0,RENT,120000,24,1,3446
2425,15.27,C,3,OWN,80004,24,0,0
3200,16.29,D,2,MORTGAGE,115500,24,0,0
4000,13.79,C,1,RENT,33280,30,0,0
5000,5.42,A,3,MORTGAGE,165000,23,0,0
3000,8,A,13,RENT,36000,27,0,0
5500,7.51,A,4,RENT,63000,44,0,0
5000,7.9,A,5,OWN,21600,22,1,2546
4000,5.99,A,4,RENT,70000,26,0,0
25000,11.12,B,14,MORTGAGE,75689,23,0,0
9600,,C,0,RENT,51000,25,0,0
25000,16.02,D,9,RENT,88000,23,1,16148
25000,12.98,C,11,MORTGAGE,149981,23,0,0
3000,11.12,B,3,RENT,106000,34,1,1491
20000,10.99,B,29,RENT,60000,28,1,12179
4400,13.16,C,15,MORTGAGE,51480,23,1,3088
20000,10.38,B,0,RENT,110000,40,0,0
3000,5.42,A,0,RENT,25000,28,0,0
12000,9.62,B,12,MORTGAGE,99750,24,1,4711
25000,14.96,D,6,RENT,112580,22,0,0
12000,7.29,A,3,MORTGAGE,51000,26,1,8980
7800,11.83,B,0,RENT,85757,26,0,0
10000,6.17,A,4,RENT,50000,22,1,5186
5000,8.59,A,5,MORTGAGE,249996,21,1,2286
4500,11.03,C,3,RENT,37342.5,22,0,0
9000,10.99,B,9,RENT,55000,25,0,0
2475,5.79,A,16,MORTGAGE,63600,23,0,0
2500,13.99,C,26,MORTGAGE,83000,27,1,1523
5000,6.03,A,11,MORTGAGE,72000,24,0,0
20400,7.74,A,9,OWN,75000,23,0,0
14400,18.79,E,7,RENT,56400,21,0,0
1000,11.71,B,1,RENT,100000,30,0,0
8200,17.04,E,4,MORTGAGE,72000,29,1,5127
15000,12.86,D,19,MORTGAGE,52320,22,1,5882
20000,10.95,B,2,RENT,96588,31,0,0
1200,13.22,C,9,MORTGAGE,74000,26,1,554
2100,8.94,A,0,RENT,12000,23,0,0
10000,11.11,B,0,RENT,36000,45,0,0
24000,11.12,B,7,RENT,78708,36,1,11115
2500,11.14,B,4,RENT,70000,24,1,1084
15000,13.85,C,20,MORTGAGE,125000,26,0,0
3000,10.37,B,5,RENT,17520,23,0,0
12925,,A,18,MORTGAGE,92000,46,0,0
3900,,B,0,RENT,37584,31,0,0
9000,12.99,C,1,RENT,51000,32,0,0
4750,11.86,B,13,OWN,22440,26,1,2432
13000,13.92,C,8,RENT,57996,27,0,0
13000,12.69,B,6,RENT,118000,24,1,10231
20000,,C,4,MORTGAGE,700000,44,1,10719
5275,10.39,B,3,RENT,45000,23,0,0
15000,15.65,D,13,MORTGAGE,322400,39,0,0
5275,14.72,C,4,RENT,15600,29,1,2783
25000,16,D,1,RENT,98000,31,0,0
20000,11.36,B,6,MORTGAGE,61800,30,0,0
9000,7.88,A,4,MORTGAGE,52500,25,0,0
16000,15.33,D,8,MORTGAGE,95000,24,0,0
13000,12.99,C,7,MORTGAGE,45600,25,0,0
3600,14.79,C,3,MORTGAGE,76000,44,1,1832
10000,,C,2,RENT,30000,30,0,0
12000,,C,0,MORTGAGE,48000,26,0,0
15000,13.61,C,4,MORTGAGE,75000,22,0,0
20000,15.96,C,6,MORTGAGE,78000,33,1,14048
14400,13.8,C,3,MORTGAGE,85000,26,1,6317
5000,16.49,D,1,RENT,35000,42,0,0
5000,13.99,C,10,RENT,66000,27,0,0
7100,7.9,A,1,RENT,25000,23,0,0
5000,5.99,A,5,RENT,15600,26,0,0
9000,10.83,B,1,RENT,38500,22,1,3585
1500,,C,15,RENT,57000,25,1,872
11000,9.25,B,1,MORTGAGE,74256,34,1,4695
20000,11.36,B,1,RENT,48500,22,0,0
5000,5.42,A,6,RENT,81000,24,1,3006
22000,6.54,A,13,OWN,85000,24,1,11641
11325,,B,4,RENT,25000,29,1,6310
6000,5.79,A,4,RENT,50000,23,0,0
1800,14.22,C,3,RENT,36129,34,1,778
3000,14.65,C,2,RENT,125000,30,0,0
12800,6.62,A,6,MORTGAGE,60000,39,0,0
6000,15.62,D,3,MORTGAGE,65000,39,0,0
12000,7.66,A,6,MORTGAGE,97000,31,0,0
10000,10.65,B,3,RENT,100000,22,0,0
14000,10.99,B,2,RENT,77700,25,1,6411
3000,,B,23,RENT,30000,22,0,0
6000,17.04,E,1,RENT,28800,25,1,3005
19400,12.69,B,0,RENT,50000,23,0,0
14500,9.88,B,2,RENT,36000,26,0,0
9600,12.29,C,4,RENT,78000,27,1,4558
4000,5.79,A,3,RENT,45600,26,1,1895
15000,6.03,A,2,MORTGAGE,200000,28,1,8499
4000,7.4,A,4,OWN,133000,24,1,2187
5000,14.35,C,0,RENT,16800,32,0,0
10000,12.53,B,3,MORTGAGE,60000,27,0,0
2250,6.99,A,7,RENT,48000,28,1,927
21000,8.9,A,5,RENT,125000,26,0,0
1400,10.83,B,0,RENT,10000,24,0,0
2000,10.65,B,5,MORTGAGE,16800,22,0,0
2500,7.88,A,2,RENT,54600,34,0,0
12000,16.49,D,0,MORTGAGE,60000,27,1,5682
1000,9.63,B,1,MORTGAGE,25000,34,0,0
5400,12.53,C,3,MORTGAGE,70000,26,0,0
4000,7.9,A,3,RENT,30000,22,1,1493
12000,11.71,B,0,RENT,60000,30,0,0
5000,,C,0,RENT,48000,23,1,2338
10000,10.99,B,1,MORTGAGE,96000,26,1,6288
9750,16.77,D,0,RENT,24300,44,1,6083
2800,16.07,D,1,MORTGAGE,24000,23,0,0
4000,10.37,B,4,RENT,19200,29,0,0
8000,,B,16,MORTGAGE,68000,25,1,3450
6000,9.88,B,0,RENT,36100,23,0,0
6000,10.38,B,0,RENT,90000,30,0,0
5350,15.27,C,6,MORTGAGE,52000,36,1,2300
9000,6.62,A,5,MORTGAGE,84191,26,1,5345
13000,7.88,A,5,MORTGAGE,53500,27,1,6567
1050,,A,0,RENT,6000,24,0,0
7000,9.88,B,0,RENT,53000,28,1,4764
6000,10.75,B,4,RENT,35004,31,1,3065
15000,7.9,A,0,RENT,62000,28,1,6384
15000,13.48,C,16,MORTGAGE,66396,22,1,6403
10800,6.92,A,11,MORTGAGE,300000,28,1,4988
15000,12.73,C,0,MORTGAGE,70000,30,1,9072
2400,7.49,A,6,MORTGAGE,84000,34,0,0
18000,11.26,B,16,OTHER,66516,24,1,9088
5575,6.54,A,11,MORTGAGE,97781,23,1,2410
2500,8.63,A,13,RENT,60000,25,1,1109
2000,13.35,C,4,OWN,44000,27,0,0
1000,11.89,B,23,MORTGAGE,87000,26,0,0
6000,7.51,A,3,MORTGAGE,55000,24,0,0
15000,17.03,F,3,MORTGAGE,107000,23,1,9011
10000,,A,7,MORTGAGE,97000,37,1,5310
