loan_amnt,int_rate,grade,emp_length,home_ownership,annual_inc,age
6600,,B,1,RENT,26000,31
5000,11.99,B,6,MORTGAGE,28800,23
6500,13.98,C,16,MORTGAGE,45000,35
15000,8.88,B,14,RENT,71000,38
4800,14.59,D,1,MORTGAGE,60000,40
16000,13.22,C,27,MORTGAGE,67014.48,34
2000,,A,3,MORTGAGE,43000,22
4500,12.68,C,0,RENT,35004,46
6500,5.79,A,3,MORTGAGE,65000,36
13500,11.14,B,0,MORTGAGE,48526.8,22
5400,10,B,3,RENT,30000,26
5000,11.49,B,2,RENT,27036,37
4000,10,B,1,RENT,41000,31
6600,7.66,A,6,MORTGAGE,82359,46
7000,6.99,A,1,RENT,95000,25
3600,7.9,A,4,RENT,60000,23
3000,8.49,A,1,RENT,43000,23
10000,,C,3,MORTGAGE,80000,23
3775,,A,7,MORTGAGE,120000,27
7000,7.49,A,5,MORTGAGE,74400,50
5000,5.42,A,12,MORTGAGE,50000,22
3800,6.03,A,4,OWN,90000,36
11000,,B,0,RENT,49000,27
35000,10.59,B,20,MORTGAGE,140000,25
3250,13.35,C,10,MORTGAGE,95000,37
3600,15.23,C,,RENT,39996,70
7700,15.23,C,4,RENT,63000,40
10000,10.38,B,8,MORTGAGE,44000,43
7300,10.25,B,7,RENT,115000,30
12000,11.71,B,13,RENT,42600,30
8000,10.75,B,5,MORTGAGE,550000,40
2400,13.49,C,1,RENT,50000,34
10750,15.2,D,0,RENT,24000,24
29850,,D,1,RENT,59700,54
12500,6.54,A,15,MORTGAGE,114996,39
10000,15.96,C,0,RENT,39000,25
8500,10.37,B,3,RENT,68000,42
12000,8.59,A,0,MORTGAGE,130000,32
10000,7.51,A,5,MORTGAGE,39996,23
3000,7.74,A,11,MORTGAGE,111996,34
12800,10.65,B,5,MORTGAGE,52000,23
1200,8.49,A,11,RENT,43000,25
4625,12.42,B,4,MORTGAGE,40000,31
8400,,A,1,RENT,36000,23
5000,12.73,C,7,RENT,47000,34
9400,6.91,A,2,RENT,31200,27
16000,11.49,B,3,RENT,43000,25
24000,11.49,B,8,MORTGAGE,210000,30
11400,13.79,C,22,MORTGAGE,63000,24
20000,,B,1,MORTGAGE,71000,28
5000,12.98,C,3,MORTGAGE,39000,23
25000,15.65,D,1,MORTGAGE,101000,24
5000,17.56,E,5,MORTGAGE,130000,34
7700,12.53,C,1,RENT,96408,24
11775,13.49,C,1,RENT,44400,22
9150,6.03,A,4,MORTGAGE,122500,43
3000,9.88,B,2,RENT,58500,23
3375,,B,8,OWN,18000,21
6000,6.03,A,6,MORTGAGE,33000,33
15000,13.11,C,15,OWN,120775,25
8000,13.35,C,0,RENT,90000,23
10000,6.62,A,3,RENT,66000,36
7850,13.49,C,2,MORTGAGE,25500,23
15000,7.9,A,2,OWN,72000,22
8000,7.51,A,1,MORTGAGE,75000,25
16875,6.54,A,0,RENT,72000,24
5000,11.86,B,0,MORTGAGE,138000,25
7200,,A,11,MORTGAGE,60000,23
12000,6.91,A,4,MORTGAGE,70000,31
25000,11.86,B,10,MORTGAGE,115000,33
10000,9.32,A,3,RENT,53004,25
8775,13.06,C,3,RENT,42240,34
8000,9.63,B,0,MORTGAGE,80000,27
10000,7.29,A,1,RENT,48000,23
10000,12.87,C,0,MORTGAGE,34000,25
1800,7.49,A,14,MORTGAGE,55000,24
10000,,B,5,RENT,27000,23
10000,15.68,E,2,MORTGAGE,57000,36
8000,12.99,C,,RENT,48000,23
18200,9.91,B,2,RENT,36400,25
6000,,A,0,RENT,50000,40
5000,11.49,B,0,RENT,28800,23
18000,10.99,B,2,RENT,55344,25
7500,8.07,A,1,MORTGAGE,150000,40
13000,11.89,B,3,MORTGAGE,90000,30
2500,7.4,A,14,MORTGAGE,49600,24
9900,10.95,B,3,RENT,39000,28
4500,6.17,A,5,RENT,36000,22
13000,17.93,E,3,RENT,54000,26
13250,10.65,B,4,RENT,35000,28
18125,14.84,D,10,MORTGAGE,75971.76,38
10000,6.03,A,1,RENT,50000,21
6000,9.38,A,3,MORTGAGE,122000,31
30000,,D,3,RENT,77500,23
5500,10.36,B,5,MORTGAGE,36000,27
7000,,B,3,RENT,62100,23
10000,7.51,A,5,RENT,36996,22
3000,,C,38,MORTGAGE,105000,24
16000,13.24,D,0,RENT,40000,22
15000,8.88,B,5,MORTGAGE,43000,43
4800,7.14,A,2,RENT,72096,24
10000,9.33,B,1,MORTGAGE,36500,33
18000,5.79,A,,MORTGAGE,41760,40
12000,7.51,A,4,RENT,32000,24
20000,10.62,B,4,RENT,105000,27
20000,10.99,B,2,RENT,95000,23
5000,,A,2,RENT,74000,24
15000,,A,5,MORTGAGE,190300,26
5000,15.23,C,2,RENT,50000,24
5225,14.84,D,4,MORTGAGE,28000,23
6000,7.51,A,3,MORTGAGE,97500,31
3000,11.12,B,2,RENT,180000,25
12000,14.18,E,4,RENT,73660,27
10000,6.62,A,0,MORTGAGE,78000,23
3000,12.73,C,0,RENT,42000,24
5500,10.25,B,6,MORTGAGE,90000,27
4000,,A,5,MORTGAGE,41004,31
4000,10,B,2,RENT,22000,37
4400,11.71,B,17,MORTGAGE,120000,23
5000,11.86,B,2,RENT,20000,22
5000,13.92,C,11,RENT,73000,25
6400,7.51,A,3,MORTGAGE,34500,21
7000,11.89,B,2,MORTGAGE,52000,27
5950,12.73,C,3,RENT,612000,33
9500,8.9,A,2,RENT,56400,22
3500,8.32,A,18,MORTGAGE,41464.28,32
10625,11.71,B,0,RENT,25000,23
8000,11.48,B,4,RENT,62000,33
5000,11.11,B,10,MORTGAGE,88000,22
10000,7.51,A,7,RENT,88000,29
6000,5.42,A,17,OWN,125000,26
6000,14.72,C,5,MORTGAGE,25000,28
15000,9.63,A,0,RENT,140000,29
13250,16.4,E,4,RENT,30000,22
4000,7.29,A,4,RENT,14400,22
2600,11.49,B,2,MORTGAGE,60000,24
5000,13.06,C,4,MORTGAGE,144000,29
4000,12.18,B,3,RENT,110000,28
1500,,A,1,RENT,24000,21
25000,10.62,B,14,MORTGAGE,70000,31
10000,,C,2,RENT,45000,26
6000,11.71,B,6,RENT,47000,25
8000,5.42,A,6,MORTGAGE,75000,34
21000,11.99,B,6,MORTGAGE,95000,30
25000,11.83,B,3,MORTGAGE,130000,24
5000,14.74,D,2,RENT,57000,24
7500,11.86,B,5,MORTGAGE,57000,22
12000,8.59,A,0,MORTGAGE,64000,24
7000,12.09,C,14,MORTGAGE,48000,25
19000,20.48,G,0,MORTGAGE,80000,22
10000,11.83,B,1,RENT,51000,24
8000,7.51,A,,RENT,48000,24
9775,,A,1,MORTGAGE,38220,30
7000,6.99,A,22,MORTGAGE,30000,32
24000,,A,2,MORTGAGE,133000,23
10000,16.77,E,6,RENT,95000,25
9000,6.91,A,7,RENT,65000,37
15000,,B,2,MORTGAGE,110004,28
4500,10.37,B,6,MORTGAGE,86000,27
14500,17.04,E,0,RENT,30600,25
3000,13.8,C,3,RENT,43200,25
2100,11.99,B,6,OWN,113400,27
10000,12.18,B,21,OWN,85000,26
8000,9.99,B,11,MORTGAGE,100010,40
18000,13.72,C,2,MORTGAGE,60612,22
24000,12.53,B,16,RENT,55059.49,39
21000,13.36,D,6,MORTGAGE,85000,29
3000,7.14,A,9,MORTGAGE,100000,39
13250,17.27,D,11,RENT,52000,29
10500,6.91,A,7,MORTGAGE,68399,26
3500,10.36,B,5,MORTGAGE,330000,24
5600,11.49,B,5,MORTGAGE,35000,35
1200,6.03,A,6,MORTGAGE,60000,23
4200,12.53,B,2,RENT,30000,27
8000,7.14,A,5,RENT,57996,23
8400,7.51,A,24,MORTGAGE,55704,28
10000,,C,3,RENT,75000,37
5000,7.14,A,3,MORTGAGE,58000,23
8000,6.92,A,,MORTGAGE,106800,35
14000,7.9,A,8,MORTGAGE,90000,29
2800,7.49,A,4,RENT,48000,27
1500,13.43,C,5,MORTGAGE,47800,22
7750,13.23,C,1,MORTGAGE,100000,36
10000,7.9,A,2,RENT,72500,36
18000,13.24,D,13,OWN,60000,27
14400,11.14,B,3,RENT,72000,23
6000,13.57,C,2,RENT,34000,36
4800,5.42,A,1,RENT,45000,26
3100,10.59,B,3,RENT,30892.8,31
13000,7.9,A,9,RENT,110400,26
10000,14.27,C,7,MORTGAGE,75000,45
3250,14.26,C,5,MORTGAGE,50000,29
7800,10.59,B,0,MORTGAGE,60000,31
5000,15.45,E,0,RENT,40000,35
8000,7.49,A,4,MORTGAGE,55000,23
5400,9.38,A,1,MORTGAGE,98406,32
10250,5.42,A,20,MORTGAGE,80000,25
8000,14.59,D,5,RENT,38918.4,30
4325,10.75,B,2,RENT,52800,34
4000,13.72,C,4,RENT,26400,24
3000,10.65,B,31,MORTGAGE,60000,24
14600,6.03,A,3,RENT,30000,23
7500,11.86,B,14,RENT,30000,33
1000,11.28,C,1,RENT,35000,26
10000,12.53,C,2,RENT,46000,36
4000,9.63,B,1,MORTGAGE,48000,22
4000,,D,2,MORTGAGE,21948,24
20000,7.51,A,,MORTGAGE,200000,44
5000,,C,0,OWN,105000,23
15000,12.53,C,9,MORTGAGE,141000,43
35000,8.9,A,5,RENT,70500,29
18000,11.89,B,9,MORTGAGE,72000,28
6000,11.48,B,3,MORTGAGE,60000,27
14500,11.49,B,,RENT,35000,26
2000,5.99,A,4,MORTGAGE,32000,23
12000,10.37,B,2,RENT,60000,22
3000,16.32,E,4,RENT,78000,22
9000,8.94,A,1,MORTGAGE,66996,29
11500,13.57,C,4,MORTGAGE,36000,30
5000,13.79,C,5,RENT,34152,27
3000,10.65,B,0,RENT,30000,35
2400,,B,4,RENT,39996,31
18000,13.85,C,1,RENT,52000,22
19400,12.69,B,0,RENT,50000,23
12000,10.99,B,4,RENT,60000,30
13200,13.16,C,1,MORTGAGE,60000,23
16000,13.85,C,14,MORTGAGE,115000,28
18000,7.51,A,15,MORTGAGE,65000,27
35000,7.9,A,2,RENT,95000,23
17475,9.91,B,3,RENT,45408,21
15000,16.32,D,11,MORTGAGE,120000,24
12000,,C,6,RENT,53000,29
20000,10.08,B,3,RENT,60000,26
10000,15.76,F,8,OWN,42642.71,25
13000,13.16,C,5,RENT,50000,44
4000,11.49,B,0,RENT,33600,31
5500,11.11,B,12,RENT,25000,32
4000,7.88,A,4,RENT,39000,25
16000,13.79,C,0,RENT,80000,29
3250,9.99,B,2,RENT,12000,21
10625,,A,11,MORTGAGE,59000,25
10000,11.49,B,3,RENT,130000,27
13750,11.71,B,3,MORTGAGE,47500,24
23500,,B,2,MORTGAGE,59160,28
4000,9.32,A,5,RENT,41000,37
9600,9.62,B,2,MORTGAGE,55000,27
7000,11.11,B,5,MORTGAGE,36000,24
10000,14.27,C,1,RENT,57000,25
12500,10.65,B,8,MORTGAGE,50000,25
25000,,B,1,OTHER,100000,24
8500,7.9,A,,MORTGAGE,25000,29
14000,18.09,F,0,OWN,31200,27
6400,,A,2,RENT,76644,39
7200,10.65,B,4,RENT,45000,27
10000,7.51,A,0,OWN,35004,22
3000,13.16,C,0,OWN,49140,22
16000,11.58,B,7,RENT,67600,35
4425,17.49,D,29,RENT,54000,30
5500,14.61,D,4,MORTGAGE,78792,22
8000,10.99,B,3,RENT,45000,31
7000,9.62,B,6,RENT,13000,31
5600,12.68,C,4,RENT,24000,28
5600,5.79,A,1,RENT,19800,24
4500,13.43,C,2,RENT,39996,22
1000,15.27,C,17,MORTGAGE,53000,22
6000,,B,1,RENT,42000,25
1200,7.14,A,0,OWN,32000,36
10000,9.7,B,5,OTHER,108000,24
11000,7.49,A,3,MORTGAGE,55000,27
4000,7.49,A,1,RENT,52000,31
7000,20.89,F,1,RENT,60000,25
10625,13.47,C,12,MORTGAGE,34000,27
9000,12.49,D,9,MORTGAGE,52000,30
4200,10.74,B,4,RENT,43200,27
15200,12.21,B,1,OWN,50000,36
4650,13.49,C,3,RENT,43000,32
3000,9.7,B,1,RENT,18008,21
10000,13.49,C,1,MORTGAGE,35640,24
9000,13.99,C,3,RENT,48000,32
12000,,B,4,RENT,110000,26
14000,7.9,A,1,MORTGAGE,111239.96,24
9600,17.27,D,3,RENT,42000,22
5775,6.17,A,0,RENT,120000,24
7200,9.25,B,5,RENT,80500,23
6000,5.79,A,3,MORTGAGE,30000,29
15000,9.25,B,3,MORTGAGE,61104,31
5400,16,D,2,RENT,50000,29
6000,9.45,B,7,MORTGAGE,60000,23
5150,6.62,A,2,MORTGAGE,28800,26
21500,9.99,B,5,RENT,70000,24
15000,11.49,B,5,RENT,90000,22
12600,13.85,C,2,MORTGAGE,62400,22
2500,7.14,A,0,RENT,87000,34
20000,7.49,A,3,RENT,80000,27
21000,7.9,A,5,MORTGAGE,120000,25
15000,10.2,B,24,MORTGAGE,30200,25
7100,9.99,B,2,RENT,15000,26
10000,14.22,C,3,MORTGAGE,39500,23
2000,13.49,C,2,RENT,19200,24
6000,9.91,B,17,MORTGAGE,60000,22
13750,6.92,A,10,OWN,33716,22
5000,5.79,A,19,OWN,64000,27
3000,,A,2,RENT,45000,22
7000,5.79,A,2,MORTGAGE,96000,23
7000,11.14,B,1,RENT,40000,22
25000,15.76,F,7,MORTGAGE,120000,26
4000,10.95,B,2,RENT,37000,22
5000,14.61,D,4,OWN,55000,22
8000,7.49,A,19,MORTGAGE,87000,23
10000,8,A,0,MORTGAGE,28989,23
5000,11.12,B,27,MORTGAGE,86000,26
9600,11.97,C,8,RENT,36996,26
7600,10.99,B,1,RENT,28000,27
4450,10.37,B,4,MORTGAGE,45000,30
12000,16.89,D,6,MORTGAGE,62400,36
9600,,A,0,RENT,30000,28
6000,8.9,A,0,OWN,37000,23
9000,8.94,A,6,RENT,37000,27
2500,14.65,C,9,MORTGAGE,62000,31
20000,6.17,A,1,MORTGAGE,100000,27
4375,9.63,B,6,OWN,16500,23
16000,14.74,D,26,RENT,54396,27
9000,9.99,B,11,MORTGAGE,51000,26
7200,10.39,B,1,RENT,48000,30
4000,6.99,A,9,RENT,65000,27
21000,,B,12,RENT,53580,33
6000,6.99,A,4,RENT,47000,31
9600,5.99,A,9,MORTGAGE,35360,22
20000,,B,8,RENT,75000,25
7900,8.59,A,14,MORTGAGE,91000,44
10000,6.62,A,2,RENT,45000,24
6400,10.95,B,0,RENT,24000,21
12800,10.75,B,5,RENT,85000,32
2500,15.95,D,1,MORTGAGE,18000,23
9000,10.25,B,3,RENT,55000,35
5000,9.91,B,2,OWN,25000,37
24000,11.49,B,7,RENT,130000,24
17000,6.03,A,,MORTGAGE,61200,29
6000,8.49,A,10,MORTGAGE,100000,41
2000,7.4,A,11,MORTGAGE,70000,31
10000,16.82,E,3,RENT,30000,29
6000,8.9,A,2,OWN,27600,28
12000,16.89,D,22,RENT,72000,25
8000,13.22,C,2,RENT,30000,30
6500,5.79,A,2,MORTGAGE,66000,28
5000,9.32,A,10,MORTGAGE,50004,26
10000,11.03,C,4,MORTGAGE,80000,36
1500,5.42,A,1,MORTGAGE,60000,24
5400,,B,15,MORTGAGE,81000,35
28000,7.9,A,8,MORTGAGE,82000,66
6000,14.74,D,4,MORTGAGE,68654,22
4100,7.51,A,9,MORTGAGE,70197,32
9250,14.35,C,1,RENT,28800,23
10000,15.33,D,9,MORTGAGE,106000,26
11000,11.49,B,4,RENT,68000,28
7000,13.49,C,8,RENT,90000,26
15000,10.37,B,1,MORTGAGE,95000,26
16000,17.49,D,2,RENT,95000,31
5000,14.59,D,1,OWN,27500,32
6000,14.74,D,16,RENT,36000,25
8000,10.95,B,0,MORTGAGE,69000,23
2100,,C,4,MORTGAGE,72000,24
6500,10.74,B,3,RENT,45000,21
7000,6.62,A,2,RENT,42000,36
9600,7.51,A,4,RENT,68004,22
9600,10.99,B,3,RENT,83000,25
12000,13.49,C,3,RENT,67200,25
3200,7.14,A,,OWN,34188,23
12000,15.27,C,5,MORTGAGE,102000,24
6000,11.86,B,4,RENT,36628.8,22
1500,14.27,C,1,RENT,90000,40
6000,12.69,B,0,RENT,45000,30
10800,7.75,A,3,RENT,24000,32
5000,8.59,A,9,OWN,70000,25
8000,,B,24,MORTGAGE,80000,24
3500,12.99,C,1,MORTGAGE,60000,40
4400,11.71,B,5,RENT,37440,33
6000,7.14,A,33,MORTGAGE,42000,24
11000,9.91,B,5,MORTGAGE,74000,43
6000,,B,11,RENT,45000,37
15000,6.03,A,2,MORTGAGE,117696,23
8000,,B,3,RENT,30000,35
12000,7.14,A,18,RENT,49600,25
9250,9.62,B,4,MORTGAGE,44500,23
7200,6.76,A,12,MORTGAGE,51000,33
3250,8,A,3,MORTGAGE,40000,26
6000,16.07,D,4,RENT,42000,32
5500,6.62,A,8,MORTGAGE,110000,25
9000,,A,3,RENT,34000,30
6000,7.51,A,0,RENT,40000,33
10000,10.25,B,7,OWN,35000,23
21000,14.09,D,11,RENT,71219.2,26
5000,12.18,B,8,RENT,40000,37
4000,7.68,A,1,RENT,41004,23
7750,12.21,B,7,MORTGAGE,41700,28
8000,13.8,C,12,RENT,44000,26
17000,6.62,A,36,OWN,44004,23
14000,5.42,A,4,RENT,80000,32
9000,10.25,B,6,OWN,37000,25
3600,15.99,D,3,RENT,30000,26
3600,13.49,C,12,MORTGAGE,65004,24
18000,13.48,C,2,RENT,56000,24
14400,16,E,2,OWN,34000,29
11800,6.03,A,4,MORTGAGE,102500,26
1800,11.12,B,5,RENT,168288,24
15000,6.91,A,20,MORTGAGE,105201,39
7000,16.63,E,7,RENT,30996,24
6000,8.9,A,18,MORTGAGE,76000,24
4800,11.49,B,8,RENT,30000,24
10000,6.54,A,3,RENT,83000,23
5000,11.14,B,1,RENT,30000,36
5000,14.84,D,11,RENT,80000,23
10625,7.9,A,1,RENT,35000,29
28000,16.49,D,8,MORTGAGE,240000,30
3500,15.58,D,14,MORTGAGE,40000,28
2000,10.37,B,4,RENT,14400,26
1550,15.21,D,4,RENT,34480,22
3600,10.28,C,1,RENT,30000,30
12000,6.91,A,0,MORTGAGE,80000,25
7000,8.49,A,3,RENT,65000,28
10000,10.59,B,3,OWN,72000,60
20000,,A,2,MORTGAGE,180000,29
5750,,C,,MORTGAGE,95000,24
12800,,B,0,RENT,56000,24
18000,,A,18,MORTGAGE,110000,25
18000,8.49,A,14,MORTGAGE,83000,33
6000,7.88,A,3,MORTGAGE,66000,23
15000,12.53,C,1,MORTGAGE,128500,25
10000,16.45,E,13,RENT,55000,22
16750,13.11,C,8,RENT,50496,22
7050,8.88,B,0,RENT,80000,35
2500,14.96,D,13,OWN,41000,22
14000,16.4,E,14,MORTGAGE,70000,34
18000,14.79,C,3,RENT,125000,22
1400,13.11,C,4,RENT,30000,25
7400,16.77,D,2,RENT,37000,32
10500,,D,10,RENT,37000,24
12000,5.42,A,12,MORTGAGE,62400,27
2000,17.19,E,1,RENT,12996,30
12000,7.29,A,13,RENT,68400,26
17500,7.51,A,8,MORTGAGE,93000,26
10000,7.88,A,20,MORTGAGE,122400,32
5000,,B,19,MORTGAGE,72000,23
4800,7.51,A,2,MORTGAGE,36000,31
17000,9.88,B,6,RENT,54660,23
10000,6.17,A,5,MORTGAGE,72000,29
4100,13.49,C,18,OWN,60000,46
2350,13.98,C,6,RENT,44400,25
3625,8.49,A,11,OWN,19000,22
12800,13.16,C,2,RENT,62000,28
3000,9.63,B,17,OWN,96000,28
5000,11.11,B,3,RENT,65004,22
20000,13.92,C,17,RENT,84996,28
9500,,A,8,RENT,96000,32
5600,14.84,D,3,RENT,30000,28
2400,12.99,C,0,RENT,48000,24
10000,5.79,A,5,RENT,60000,33
9600,14.27,C,4,RENT,24000,21
7800,10.99,B,13,MORTGAGE,74000,28
20000,11.36,B,3,MORTGAGE,62000,32
8000,7.51,A,2,MORTGAGE,29160,27
9800,13.79,C,2,OWN,62000,33
5825,14.27,C,5,RENT,26000,26
8000,14.42,D,3,RENT,52000,26
8000,6.76,A,8,MORTGAGE,50648,26
25000,12.87,C,4,RENT,56000,26
10300,16.29,D,1,MORTGAGE,26400,41
18000,10.99,B,7,MORTGAGE,90722,28
20600,12.53,B,28,MORTGAGE,100080,23
4800,13.72,C,0,RENT,65000,26
23000,14.96,D,1,MORTGAGE,106050,48
5000,13.11,C,0,RENT,40000,26
2000,7.37,A,0,MORTGAGE,65000,25
12800,6.62,A,3,MORTGAGE,72000,35
6000,9.32,A,2,RENT,35000,27
3000,14.72,C,3,RENT,125000,24
15400,11.36,B,21,OWN,105000,30
12000,17.99,E,3,RENT,57000,23
4000,10.25,B,6,RENT,34400,33
25000,9.25,B,36,OWN,190000,26
12000,6.99,A,4,MORTGAGE,42000,24
11000,12.53,B,0,RENT,50000,25
10000,10.37,B,2,MORTGAGE,68000,23
4000,6.76,A,3,MORTGAGE,85000,23
3200,9.32,A,0,RENT,16000,25
13575,11.71,B,2,RENT,60000,29
2500,7.14,A,4,RENT,22000,21
4000,6.76,A,9,MORTGAGE,46000,29
10000,7.29,A,8,RENT,45756,23
7000,16.02,D,5,MORTGAGE,126000,29
14000,13.48,C,12,RENT,122000,23
4500,8.49,A,,MORTGAGE,55000,26
12000,,C,5,RENT,38295.6,28
13000,13.98,C,1,RENT,67500,24
9000,7.29,A,5,RENT,46000,30
7000,7.66,A,2,MORTGAGE,250000,24
2500,13.11,C,2,RENT,12600,24
1000,6.76,A,7,MORTGAGE,100000,30
16000,8.9,A,,OWN,35000,37
25000,14.83,D,15,RENT,105996,29
12000,10.37,B,0,RENT,43680,26
1750,15.31,D,2,OWN,15000,25
6000,12.21,B,8,RENT,18000,24
3100,11.71,B,0,RENT,20000,25
24000,19.42,E,20,MORTGAGE,96000,26
7000,15.99,D,0,RENT,60000,24
5000,,B,1,MORTGAGE,92000,32
2500,7.51,A,14,MORTGAGE,72000,36
6000,5.42,A,,MORTGAGE,44000,23
1800,14.27,C,0,RENT,57000,22
2500,11.14,B,3,RENT,30000,27
1450,,A,0,MORTGAGE,45000,23
8000,9.62,B,3,RENT,40000,32
5000,11.14,B,3,RENT,38400,24
10000,13.61,C,0,RENT,80000,36
2500,14.35,C,21,RENT,54996,22
4800,11.89,B,2,MORTGAGE,60000,27
8000,18.64,E,22,MORTGAGE,114000,28
20000,7.88,A,15,MORTGAGE,225000,28
10000,8.49,A,15,MORTGAGE,72000,28
10800,10.36,B,2,MORTGAGE,78000,30
9200,11.89,B,2,MORTGAGE,45000,24
15000,16,E,2,MORTGAGE,50000,21
15000,7.49,A,2,MORTGAGE,127500,22
6000,7.51,A,11,MORTGAGE,121500,32
4000,10.99,B,2,OWN,14400,22
15000,7.51,A,1,MORTGAGE,95004,27
1500,11.36,B,11,MORTGAGE,58000,36
4800,13.49,C,,MORTGAGE,71000,25
8000,16.02,D,4,MORTGAGE,112000,30
4500,6.62,A,11,MORTGAGE,31164,23
20500,20.9,G,5,OWN,69000,34
8000,11.49,B,9,MORTGAGE,62500,26
7200,,A,12,MORTGAGE,57996,23
9000,,A,1,MORTGAGE,50000,23
6925,9.99,B,7,MORTGAGE,27040,40
3600,7.49,A,0,RENT,30000,24
4000,9.32,A,0,MORTGAGE,75852,27
6000,10.75,B,5,MORTGAGE,115000,26
2850,11.86,D,3,RENT,45000,24
6000,10.95,B,9,RENT,23000,21
4000,14.27,C,5,MORTGAGE,75000,35
12000,7.9,A,11,MORTGAGE,60000,25
10000,20.62,F,2,MORTGAGE,185000,48
25000,11.36,B,4,RENT,55000,23
25000,15.7,D,5,MORTGAGE,68902.67,25
8800,7.29,A,8,MORTGAGE,103000,27
11600,15.05,D,21,MORTGAGE,133228,24
18000,9.25,B,2,RENT,39996,23
3000,14.84,D,4,RENT,65004,23
6000,7.9,A,,MORTGAGE,75000,33
16750,10.38,B,8,MORTGAGE,60996,28
6000,9.99,B,3,RENT,74500,25
10000,7.51,A,12,MORTGAGE,50000,26
5000,9.99,B,1,RENT,37200,38
3000,13.49,C,3,MORTGAGE,74628,51
14000,14.59,D,9,RENT,73000,35
13800,6.91,A,4,MORTGAGE,43000,28
10000,,A,10,MORTGAGE,47091,22
11500,7.49,A,8,MORTGAGE,65000,26
17400,11.99,B,7,RENT,82000,24
17625,8.9,A,1,RENT,45000,23
1325,14.79,C,5,RENT,51500,25
7200,,B,0,RENT,30000,31
15675,6.54,A,1,RENT,63000,24
1500,9.91,B,13,RENT,48000,35
7000,10.59,B,25,OWN,75000,26
12000,10.59,B,19,RENT,40000,38
7500,16.33,F,6,MORTGAGE,50000,24
12000,7.29,A,2,MORTGAGE,75000,31
7500,,E,0,OWN,22000,25
24000,,C,21,MORTGAGE,84000,37
5000,13.23,C,7,RENT,63000,23
4500,,A,0,RENT,41700,29
12200,11.36,B,5,OWN,40900,23
16000,14.42,D,8,MORTGAGE,86004,27
12000,10.65,B,0,RENT,62000,28
20000,,E,0,RENT,125000,35
5000,13.49,C,4,RENT,33600,21
8500,14.27,C,2,RENT,18000,26
16000,10.62,B,16,MORTGAGE,210000,22
15000,13.72,C,13,RENT,80000,29
12000,7.49,A,16,RENT,36000,29
4000,14.65,C,0,RENT,48000,33
4000,13.23,C,2,RENT,43000,41
2000,9.2,B,5,MORTGAGE,24000,34
2500,8.07,A,4,MORTGAGE,110000,27
6000,7.9,A,3,RENT,25200,27
4800,14.72,C,0,MORTGAGE,136000,36
9600,9.88,B,19,RENT,32000,40
10000,10.62,B,31,MORTGAGE,55000,22
8000,7.14,A,4,MORTGAGE,60000,22
2400,8.49,A,2,MORTGAGE,67900,26
7500,11.86,B,15,MORTGAGE,129996,25
8000,12.73,C,5,MORTGAGE,420000,29
2875,15.23,C,2,RENT,28000,23
25000,10.74,B,5,MORTGAGE,140000,24
13000,7.51,A,9,RENT,55000,25
20000,11.48,B,5,MORTGAGE,105000,27
14500,7.66,A,,RENT,30000,26
15250,14.96,D,7,RENT,59000,24
6500,10.99,B,5,MORTGAGE,60000,31
8000,16.07,D,13,OWN,59506,32
14475,,C,3,RENT,50000,30
4000,19.41,F,3,RENT,20800,37
12000,9.99,B,8,MORTGAGE,55000,22
27000,9.91,B,5,OWN,140000,29
3200,13.22,C,3,MORTGAGE,90000,26
20000,17.58,F,2,RENT,101004,33
10000,8.59,A,0,RENT,80000,31
20000,10.95,B,11,OWN,66948,26
6250,15.31,D,4,RENT,19200,25
1600,14.26,C,1,RENT,48000,22
16000,12.99,C,3,RENT,40000,23
5400,12.61,D,2,RENT,40500,40
15000,16.35,E,2,MORTGAGE,140000,30
15000,14.65,C,2,MORTGAGE,75000,28
8000,8,A,3,MORTGAGE,99996,25
7500,11.89,B,6,RENT,22880,54
9250,12.87,C,0,RENT,21996,33
5550,14.11,D,4,MORTGAGE,50000,25
10000,,B,4,MORTGAGE,135000,24
4200,6.76,A,7,OWN,40000,34
10000,12.23,C,2,MORTGAGE,97000,29
17000,7.9,A,6,RENT,75000,42
3500,10.74,B,15,MORTGAGE,104000,33
12000,11.11,B,2,RENT,30000,44
10400,11.49,B,5,MORTGAGE,47000,25
8950,10.99,B,6,MORTGAGE,63000,22
32000,19.03,E,26,MORTGAGE,68000,35
10000,7.29,A,2,RENT,35000,23
4500,6.62,A,23,MORTGAGE,72000,28
18000,5.79,A,3,MORTGAGE,80000,26
7000,5.79,A,9,RENT,64000,22
9000,10.99,B,17,RENT,48960,36
9600,12.18,B,3,RENT,45000,21
10000,15.7,D,4,MORTGAGE,48600,27
1000,10.59,C,2,MORTGAGE,33990,23
6225,10.99,B,2,RENT,63250,21
14000,6.99,A,12,RENT,30000,22
8000,14.54,D,22,OWN,52680,27
12000,14.27,C,6,RENT,55000,28
2500,12.53,B,3,RENT,69996,24
3000,,A,7,RENT,26400,24
32000,15.23,C,7,MORTGAGE,60000,33
7500,,C,2,RENT,40000,28
12075,12.42,B,3,RENT,170000,27
11200,6.62,A,10,OWN,45000,47
18000,9.88,B,5,RENT,84000,25
21000,11.36,B,27,RENT,80000,36
2400,17.04,E,1,MORTGAGE,77004,25
